Product,Category,Supplier Name,Chinese Name,Location,Website,Alibaba/MIC URL,Years in Business,Factory Size,Certifications,MOQ,Price Range (USD),Specialization,Legitimacy,Contact,Red Flags,Priority,Notes
Holy Basil Bubble Mask,OEM,Guangzhou Mebamy Cosmetics,广州美薄美化妆品有限公司,"Guangzhou, Guangdong",mebamycosmetics.com,oemskincare.en.alibaba.com; mebamy.en.made-in-china.com,Est. 2015,"20,000 sqm total; 10,000 sqm factory; 100+ workers","ISO 22716, GMPC, MSDS, FDA",500 pcs,N/A,Clay mask series; gel masks; soaps; face serums; onion hair oil,VERIFIED,Via website/Alibaba,Young company vs. claimed scale,GOOD,¥50M registered capital; 30M pcs/month capacity; also makes onion hair oil
Holy Basil Bubble Mask,OEM,Blackbird Skincare,佛山黑鸟护肤,"Foshan, Guangdong",blackbirdskincare.com,,20+ years,,International brand partnerships,N/A,N/A,"4,000+ formulations incl. Bubble Mask; full supply chain",VERIFIED,Via website,Foshan-based; less transparent pricing,GOOD,End-to-end service from development to delivery
Holy Basil Bubble Mask,OEM,TY Cosmetic,广州天悦化妆品有限公司,"Guangzhou, Guangdong",tyoemcosmetic.com,,Est. 2009,"3 factories + R&D lab; 100,000-grade cleanrooms","GMP, EU, GMPC, ISO, dermatologically tested",N/A,N/A,"Sheet masks, face masks, serums — broad range",VERIFIED,Via website,No specific bubble mask listed,BACKUP,"58 R&D staff (20 senior engineers); could develop custom formula"
Hair Growth Oil Spray,OEM,Guangzhou Sevich Biology Technology,广州仕维生物科技有限公司,"Guangzhou, Guangdong",sevich.com,sevich.en.made-in-china.com,Multi-year,,"ISO 22716, GMPC, Leaping Bunny, RSPO, CPNP, FDA, CE, TUV, Halal","500-5,000 units","$1.50-4.00/unit",Rosemary hair growth spray; batana oil; hair building fibers,HIGHLY VERIFIED,Info@Sevich.Com,None,TOP PICK,Best certifications (Leaping Bunny + RSPO = ethical); EU CPNP compliant; free artwork
Hair Growth Oil Spray,OEM,Guangzhou Jianyuan Biotechnology,广州健源生物科技有限公司,"Guangzhou, Guangdong",,jianyuan.en.alibaba.com; jyhairfiber.en.made-in-china.com,Est. 2001 (16+ yrs),"3,200+ sqm; 100K-class workshop; 40+ staff","GMPC, ISO 22716, BSCI, GMP",30 pcs,"$1.00-3.00/unit",Rosemary + biotin hair growth sprays; rosemary water + onion oil,VERIFIED,Via Alibaba,Moderate factory size,BEST LOW MOQ,"Lowest MOQ (30 pcs!); 97.1% on-time delivery; 4.7 rating"
Hair Growth Oil Spray,OEM,Guangzhou Beautrue Biotechnology,广州美初生物科技有限公司,"Guangzhou, Guangdong",,beautrue.en.made-in-china.com,Est. 2008,"25,000+ sqm; 200M pcs/year","US GMPC, ISO 22716, SGS, VOC","1,000-2,000 pcs","$1.50-3.50/unit",Spray + powder specialist; batana oil + rosemary formula,VERIFIED,Via MIC,None,GOOD,"Spray format specialist; US warehouse for faster delivery"
Hair Growth Oil Spray,OEM,Guangzhou ColorDream Cosmetics Factory,广州彩梦化妆品厂,"Guangzhou, Guangdong",,jiajunoem.en.alibaba.com,Est. 2001 (25 yrs),"15,000 sqm workshop + 6,000 sqm warehouse","GMPC, ISO","1,000-3,000 est.",N/A,Hair color; perm; conditioner; styling gel; shampoo,VERIFIED,Via Alibaba,Hair growth spray may not be core specialty,BACKUP,Strong infrastructure; ImportGenius verified; may need custom formula
Hair Growth Oil Spray,OEM,Zhuhai Rixin Cosmetics,珠海日新化妆品有限公司,"Zhuhai, Guangdong",rixincosmetics.com / beautyoem.com,,Est. 1998 (25+ yrs),Pharmaceutical-grade facilities,GMPC,N/A,N/A,"Botanical skincare; rosemary hair care; full OEM/ODM/OBM",VERIFIED,"+86 19926659581 / +1(919)283-9664; info@rixincosmetics.com",None,GOOD,"1,000+ market-proven formulas; US phone number; global footprint"
Hair Growth Oil Spray,OEM,Guangzhou Meizi Biological Technology,广州美姿生物科技有限公司,"Guangzhou, Guangdong",,mzel.en.alibaba.com,Est. 2005 (17+ yrs),"20,000 sqm; 300 workers","GMPC, ISO 9001, TUV, SGS",Varies,N/A,Essential oils; bath bombs; shower steamers; beard care,VERIFIED,Via Alibaba,More diversified range,GOOD,32% reorder rate; could supply raw rosemary oil + finished products
Hair Growth Oil Spray,OEM,Guangzhou Haishi Biological Technology,,"Guangzhou, Guangdong",,Listed on Alibaba,~6 yrs Alibaba; 15 yrs mfg,100K pcs/month capacity,OEM/ODM,N/A,N/A,Onion hair oil; hair loss prevention; nourishing hair products,MODERATE,Via Alibaba,Limited public info,BACKUP,Good for onion extract products specifically
Gua Sha + Jade Roller,Factory,Guangdong Mushang Future Cosmetics,蘑尚未来化妆品有限公司,"Dongguan, Guangdong",msfuturecosmetics.com,musslane03.en.alibaba.com,Est. 2010 (16 yrs),"18,000 m²; 690 employees; 6 factories","BRC, BSCI, ISO9001, ISO14001, FDA, Sedex",Flexible,Contact,"Jade roller, gua sha, crystal gua sha, jade face/eye mask",VERY HIGH,"Crystal Lok / Audrey Wong via website/LinkedIn",Premium pricing for small brands,TOP PICK,"Supplies LA MER, Estee Lauder, Sephora, Target; 600K rollers/month"
Gua Sha + Jade Roller,Factory,Dongguan Perfect Craft,东莞完美工艺品有限公司,"Dongguan, Guangdong",facerollerguasha.com / perfectcraftcn.com,,,10+ years,"3 production + 1 assembly factory; 400+ workers","BSCI, Sedex, BRC, ISO14001, ISO9001",Low MOQ,Contact,"Jade roller, gua sha, rose quartz roller, gemstone tools",HIGH,Via website,None,GOOD LOW MOQ,"28+ patented products; explicitly supports small startups"
Gua Sha + Jade Roller,Factory,Dongguan Hanhe Gem,东莞瀚禾宝石有限公司,"Dongguan, Guangdong",hanhegem.com,hanhegem.en.alibaba.com; made-in-china.com/showroom/jaderoller,,"3,000 m²; 60+ employees","BSCI, CE, RoHS, MSDS, FDA",Contact,N/A,"Rose quartz facial roller, gua sha, eye mask, facial mask",HIGH,Via website/Alibaba,"'Biggest gemstone factory' claim may be marketing",GOOD,Stock mode = faster lead times for big orders
Gua Sha + Jade Roller,Factory,Dongguan Deyi Gems Craft,东莞德艺宝石工艺品有限公司,"Dongguan, Guangdong",deyigems.com,deyigems.en.alibaba.com; deyifactory.en.alibaba.com,Est. 2011 (15 yrs),,"BSCI, SGS, RoHS, MSDS",N/A,N/A,"Jade roller, gua sha, yoni egg, jade mask, gemstone crystal",HIGH,Via website/Alibaba,None,GOOD,"Works with Sephora + Ulta; multiple Alibaba stores"
Crystal Bracelets,Jewelry,Yiwu Yahuan / Milskye,义乌雅环珠宝有限公司,"Yiwu, Zhejiang",,milskye.en.alibaba.com,4+ yrs Alibaba,,Quality mgmt certified,Varies (low MOQs),N/A,"925 Sterling Silver evil eye bracelets; 18K gold plated; zircon",MODERATE-HIGH,Via Alibaba,Newer on Alibaba (4 yrs),BEST FOR PREMIUM,"Higher-end evil eye in sterling silver/gold plated"
Crystal Bracelets,Jewelry,Yiwu Lancui Jewelry,义乌蓝翠珠宝有限公司,"Yiwu, Zhejiang",,lancuijewelry.en.alibaba.com,,,N/A,2-120 pcs,N/A,"Energy gemstone healing bracelets (amethyst, tiger eye, pink quartz)",MODERATE,Via Alibaba,Limited certification info,BEST FOR CHAKRA,"Widest gemstone variety; flexible MOQ"
Crystal Bracelets,Jewelry,Yiwu Feiya Trading,义乌飞亚贸易有限公司,"Yiwu, Zhejiang",,feiyajewelry.en.alibaba.com,,,N/A,1-48 pcs,N/A,"Natural stone beaded bracelets; 7 chakra; volcanic lava diffuser",MODERATE,Via Alibaba,"'Trading' in name — may not be factory",BEST FOR VOLUME,"Lowest MOQ from 1 piece; affordable"
Crystal Bracelets,Jewelry,Yiwu Zhuo Dian Accessory,义乌卓典饰品有限公司,"Yiwu, Zhejiang",,zdrosary.en.alibaba.com,,,N/A,50 pcs,N/A,"Religious ornaments; #2 best seller Fashion Beaded Necklaces",MODERATE-HIGH,Via Alibaba,Evil eye may be secondary line,GOOD,"Strong Alibaba sales volume"
Crystal Bracelets,Jewelry,Yiwu Dreamcool Trading,义乌梦酷贸易有限公司,"Yiwu, Zhejiang",dreamcools.com,,,,N/A,N/A,N/A,"Crystal jewelry; evil eye charm glass; natural raw stone; 7 chakra",MODERATE,Via website,"'Trading' in name — could be middleman",BACKUP,"10+ country customer base; complete processing line"
Crystal Pendulums,Crystal Factory,Donghai Kindfull Crystal,东海金多晶体产品有限公司,"Donghai, Jiangsu",,kindfullcn.en.alibaba.com (also dhduoshou; jskindfull),Est. 2014 (12 yrs),"20,000 m²; 156 staff",N/A,1 kg / 1-50 pcs,~$27.50/kg,"Crystal carvings, points, spheres, pendulums, palm stones",HIGH,Via Alibaba,Multiple Alibaba storefronts,TOP PICK,"#1 best seller crystal decorations; #2 leading factory crafts"
Crystal Pendulums,Crystal Factory,Donghai Hengmei Crystal,东海恒美水晶有限公司,"Donghai, Jiangsu",donghaicrystalwholesale.com,dhcrystal.en.alibaba.com,6+ yrs Alibaba,,N/A,Varies,N/A,"Crystal crafts; tumbled stones; black tourmaline; chakra; pendulums",MODERATE-HIGH,"+86 19551373171; wholesale@donghaicrystalwholesale.com",Market stall location not standalone factory,GOOD,"Direct WhatsApp/phone; physical market location"
Crystal Pendulums,Crystal Factory,Donghai Boheng Crystal,东海县博恒水晶饰品有限公司,"Donghai, Jiangsu",crystalbh.com,bohengcrystal.en.alibaba.com; bhcrystal.en.alibaba.com,,50 employees (31 trading),N/A,Contact,N/A,"Crystal water bottles; points; gravel; ball; 4,400+ listings",MODERATE,Via Alibaba,"31/50 staff are trading = likely trading company",BACKUP,"#3 fastest response Glass Crafts; multi-language support"
Crystal Pendulums,Crystal Factory,Donghai Pellocci Crystal,东海珀洛奇水晶产品有限公司,"Donghai, Jiangsu",,pelloccicrystal.en.alibaba.com,,,N/A,N/A,N/A,"Crystal towers, raw stone, spheres, skulls, fashion jewelry",MODERATE,Via Alibaba,Limited public info on factory/certs,BACKUP,"Active Alibaba; diversified crystal range"
Crystal Pendulums,Crystal Factory,Donghai Kinhee Crystal,东海金禧水晶有限公司,"Donghai, Jiangsu",kinheecrystal.com,,,,N/A,N/A,N/A,"Crystal pendulums, spheres, points, carvings, gemstone products",MODERATE-HIGH,Via website,Limited certification info,GOOD,"200+ craftsmen; advanced equipment; own branded website"
Mouth Tape,Medical Device,AnJi AnShen / Anthrive,安吉安审外科敷料有限公司,"Tangpu, Anji, Zhejiang",anjiansheng.com,anthrive.en.alibaba.com; made-in-china.com/showroom/ajansheng,Est. 1992 (34 yrs),"40,000+ m²; 3 factories; 150 machines; 100K cleanrooms","CE MDR, ISO 13485, FDA",Contact,Contact,"Mouth tape, nasal strips, medical bandages, wound dressings",VERY HIGH,"+86-152 67868985; market@anthrive.com",None,TOP PICK PREMIUM,"34 years; 50+ patents; 80M rolls/year; strongest medical pedigree"
Mouth Tape,Medical Device,HLK Tape / Honglinkai,泉州市宏林凯新材料有限公司,"Quanzhou, Fujian",hlktape.com,cnhlk.en.alibaba.com,Est. 2012 (14 yrs),"5,000 m²; fully automated","ISO 13485, ISO 9001, CE, FDA, TGA",10 pcs,"$0.03-0.06/pc",Mouth tape + nasal strips OEM/ODM,HIGH,"WhatsApp: +86-19805957675; info@hlktape.com","Claims 20+ yrs (likely founder's exp)",TOP PICK DTC,"Best for DTC startups; lowest MOQ; TGA (AU/MY/SG); 3-7 day lead"
Mouth Tape,Medical Device,Zhejiang Hangbiao Medical,浙江杭镖医疗产品有限公司,"Lanxi, Zhejiang",hbmedica.com / navigationmed.com,navigation.en.made-in-china.com; hangbiao.1688.com,Est. 2017 (9 yrs),"5 lines; 100K-class workshop","TUV ISO 13485, CE, FDA",Contact,Contact,"Mouth tape, acne patches, scar patches, silicone tape, sports tape",MODERATE-HIGH,"+86-18368666833 (WeChat: Carole Gong); 940598704@qq.com",QQ email unprofessional; youngest of 3,GOOD,"TUV-certified; also supplies acne patches + sports tape"
Ear Seeds,Medical Device,Suzhou Hualun Medical,苏州华伦医疗器械有限公司,"Suzhou, Jiangsu",hualun-medical.com,hualunyiliao.en.alibaba.com,20+ years,,"CE (TUV), ISO 13485, Jiangsu FDA",Contact (free samples),N/A,"Vaccaria ear seeds, acupuncture needles, magnetic pellets",HIGH,"Susan Yu: +86-138 6208 4905 admin@hualun-medical.com; Andre Brady: +86-183 5253 2452 info@hualun-medical.com",None,TOP PICK OEM,"Professional export team; free samples; OEM/ODM welcomed"
Ear Seeds,Medical Device,Suzhou Medical / Hwato Brand,苏州医疗器械厂 / 华佗牌,"Suzhou, Jiangsu",,hwato.en.alibaba.com,Est. 1980 (46 yrs),,"TGA, FDA, TUV CE, ISO",N/A,N/A (premium),"Ear seeds/needles, press needles, acupuncture needles",VERY HIGH,Via Alibaba,Premium pricing expected,TOP PICK PREMIUM,"Publicly listed parent (Yuwell); drafted China + ISO standards; gold standard"
Ear Seeds,Medical Device,Gushi Gongyuan Medical,固始公园医疗器械有限公司,"Gushi, Henan",en.hngsgy.com,gushigongyuan.en.made-in-china.com,Est. 2001 (25 yrs),"7 billion pcs/year capacity","ISO 13485, GMP (10+ consecutive yrs)",10-150 pcs,N/A,"Vaccaria seeds, auricular stickers, acupuncture, moxibustion",HIGH,Via MIC/website,Henan not typical med device hub,BEST VOLUME,"Brands: QUANHE, YUANNIAN, ZHOUGONG; massive capacity"
Ear Seeds,Medical Device,Qinghe Chunol Medical,清河春诺医疗器械有限公司,"Qinghe, Hebei",,chunolmed.en.made-in-china.com,Est. 2009 (17 yrs),"1,000 m²; 200 workers","ISO 9001, CE, FDA, ISO 13485",10-150 pcs,N/A,"Vaccaria ear seeds, magnetic pellets, gold-plated auricular, cupping",MODERATE-HIGH,Via MIC,Smaller factory; ISO 9001:2008 may be outdated,GOOD,"Diversified TCM product range; good for testing"
Incense / Palo Santo / Sage,Incense Factory,Quanzhou Pusu Fragrance,泉州蒲素香业有限公司,"Jinjiang/Quanzhou, Fujian",,incenseindustry.en.alibaba.com,20+ years,,N/A (Alibaba verified),N/A,N/A,"Incense sticks, holders, flameless incense, aromatherapy",HIGH,Via Alibaba,May not stock palo santo/white sage,TOP PICK,All-natural only; no chemical additives; global customers UK/MY/ID
Incense / Palo Santo / Sage,Aroma Crafts,Knows (Xiamen) Aroma Crafts,诺思(厦门)芳香工艺品有限公司,"Xiamen, Fujian",,knowsaroma.en.made-in-china.com,,,N/A,N/A,N/A,"Scented candles, reed diffusers, incense sticks, fragrance oils",MODERATE-HIGH,Mr. Steven Lin via MIC,Incense may be secondary to candles,GOOD FOR KITS,"Own factory with R&D; good for bundled kits/sets"
Incense / Palo Santo / Sage,Incense Factory,Quanzhou Fuduoduo Incense,泉州福多多香业有限公司,"Quanzhou, Fujian",,made-in-china.com/showroom/rosiechan/,,,N/A,N/A,N/A,"Buddhist incense sticks, joss sticks, sandalwood, smokeless",MODERATE,Members Only on MIC,Contact info restricted; temple/Buddhist focus,BACKUP,"Traditional Chinese incense; competitive pricing"
Incense / Palo Santo / Sage,Incense Factory,Yongchun Xinglong Incense,永春兴隆香厂,"Yongchun, Quanzhou, Fujian",,,,,N/A,N/A,N/A,Traditional Yongchun incense (produces 1/3 of world's incense),MODERATE,+86-595-23791883,Limited online presence; may lack English,BACKUP,"Heart of Yongchun incense district"
Incense / Palo Santo / Sage,Trading Company,Xiamen Starlights Trading,厦门星光贸易有限公司,"Xiamen, Fujian",mystarlights.com,xmstarlights.en.alibaba.com; starlights.en.made-in-china.com,Est. 2009 (17 yrs),,N/A,N/A,N/A,"Home decor, oil burners, wax melters, incense burners",MODERATE,Via website/Alibaba,TRADING COMPANY not factory; office address,GOOD FOR ACCESSORIES,"500+ supplier network; good for burners/holders/smudge kit accessories"
