ID,Business Name,Website,Category,Niche,Revenue/Day (USD),Revenue/Month (USD),Revenue/Year (USD Est),Sell Price (USD),Source Cost (USD),Margin %,Active Ads,Days Running,Countries,SKUs/Products,Shopify?,UI/UX Score,Trustpilot Rating,Trustpilot Reviews,Monthly Visits,Target Gender,Target Age,Marketing Channels,Distribution,Subscription?,POD?,Ali Akbar Tier,Threat Level,Beatable?,Key Weakness,Key Opportunity,1688 Search Term,Source CSV,Opportunity Rank,Score /100,Tier
11,Seraphina,seraphina.com,Health/Wellness,Tinnitus Relief,$2968,$89000,$1070000,$40-60,$5-12,80%,37,104,12,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads (37 only!),Own site,No,No,B-MINNOW,LOW,YES,ONLY 37 ads,Tinnitus 15% of world pop. Medical authority brand,耳鸣缓解设备,MASTER-WINNERS,8,79,Easy Win
12,Pet Printed,petprinted.de,Pet/Gifts,Custom Pet Books,$8700 (EUR 8052),$261000,$3130000,$27-43 (EUR 25-40),$5-10,70%,Unknown,718,2,Unknown,YES,Unknown,4.6/5,8755,112745,Both,Unknown,Meta Ads,Own site + EU expansion (IT/ES),No,Yes (Blurb/Lulu/Gelato),S-SHARK,LOW,CLONE for English,German ONLY 2 yrs. Revenue declining 36% QoQ. IG ~55K across regional accounts. 76% mobile,Zero English competition. Launch US/UK/AU,Custom pet storybook,POD-WINNERS,9,78,Easy Win
13,MusclePain,musclepain.dk,Health/Wellness,Sauna Blanket,$20000,$600000,$7200000,$288,$15-65,77-95%,91,Unknown,3,~15,YES,7/10,Active,Unknown,Unknown,Men & Women,Unknown,Meta Ads + Trustpilot,Own site,No,No,S-SHARK,MEDIUM,CLONE for new geos,Danish-only 91 ads,Enter German/Dutch market with same product,远红外排汗毯 / 红外线桑拿毯,MEGA-30 + 5-NICHE,10,77,Easy Win
14,TakeUltra,takeultra.com,Health/Supplements,Focus Pouches,$22848,$685000,$8220000,$48.00,$0.30-0.80,90-96%,93,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,Yes (consumable),No,S-SHARK,MEDIUM,YES,Single country,Focus pouches brand for productivity niche,尼古丁口含袋 / 咖啡因口含袋,MEGA-30,11,76,Easy Win
15,LysaRitual,lysaritual.com,Health/Supplements,Acne Gummies,$21816,$654000,$7850000,$59.00,$0.15-1.80,90-95%,273,Unknown,18,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,Yes (consumable),No,S-SHARK,MEDIUM,YES,Unknown,Acne gummy brand targeting teens/young adults,祛痘软糖 / 痤疮保健软糖,MEGA-30,13,75,Easy Win
16,LuxeCosmetics,luxecosmetics.nl,Beauty,Lash Lift Kit,$5400,$162000,$1940000,$43,$0.90-5,85-92%,472,Unknown,6,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Unknown,Lash lift kits TikTok viral potential,睫毛翘烫套装 / 睫毛嫁接套装,MEGA-30,12,75,Easy Win
17,CalmBed,calmbed.no,Sleep/Wellness,Weighted Blanket,$12000,$360000,$4320000,$59,$7-25,58-88%,261,Unknown,1,~1,YES,7/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,CLONE for other Nordics + English,Norwegian-only single product,Entire Nordics + EU open,重力毯 / 加重毯,MEGA-30 + 5-NICHE,14,74,Easy Win
18,Cadeauplus,cadeauplus.com,Gifts/Photo,Acrylic Photo Plaques,$7100 (EUR 6510),$213000,$2560000,$33-76 (EUR 30-70),$5-12,65%,Unknown,75,7,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Both,Unknown,Meta Ads,Own site,No,Yes (Printful/Gelato),A-DOLPHIN,LOW,YES,French-only,Launch English version for US/UK/AU,Personalized acrylic photo plaques,POD-WINNERS,16,73,Easy Win
19,Lovbrick,lovbrick.com,Gifts/Toys,Custom LEGO Figures,$3000 est,$90000 est,$1080000 est,$30-60,$5-12,75%,Unknown,Unknown,Unknown,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Both,Unknown,TikTok + Meta,Own site,No,No (1688 sourced),A-DOLPHIN,LOW,YES,Unknown,VIRAL TikTok. Mini-me of boyfriend,Custom LEGO mini figures,POD-WINNERS,15,73,Easy Win
20,PetCura,petcura.nl,Pet Health,Pet Probiotics,$9200,$276000,$3310000,$54,$1.50-4,84-94%,128,Unknown,2,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Both,Unknown,Meta Ads,Own site,Yes (consumable),No,A-DOLPHIN,LOW,YES,Unknown,Pet supplement brand for UK/US/AU,宠物犬安神零食 / 狗镇静保健品,MEGA-30,18,72,Easy Win
21,Lymphora,lymphora.no,Beauty Tools,Lymphatic Face Brush,$2200,$66000,$792000,$27,$0.50-3,81-93%,346,Unknown,6,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Unknown,Lymphatic drainage trending on TikTok,刮痧板 / 面部刮痧工具,MEGA-30,17,72,Easy Win
22,EclatantBeauty,eclatantbeauty.nl,Beauty/Supplements,Marine Collagen,$13300,$399000,$4790000,$43,$1-3,82-92%,1754,Unknown,19,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,Yes (consumable),No,A-DOLPHIN,MEDIUM,YES,Unknown,Marine collagen in US/Asia markets,海洋鱼胶原蛋白 / 深海鱼胶原蛋白粉,MEGA-30,19,71,Easy Win
23,ViveLuxe,viveluxe.fr,Health/Devices,Portable Nebulizer,$7100,$213000,$2560000,$33,$6.80-19.50,67-83%,1519,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,French only,Portable nebulizer Ali Akbar's exact example,便携式雾化器 / 网式雾化机,MEGA-30,20,71,Easy Win
24,Norrheim,norrheim.se,Men's Grooming,Beard Care,$12200,$366000,$4390000,$29,$1.50-5,72-90%,128,Unknown,12,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,LOW,YES,Unknown,Nordic beard care brand for US/UK,胡须护理套装 / 胡须生长精油,MEGA-30,21,70,Easy Win
25,MaximeIlleur,maximeilleur.com,Health/Beauty,LED Face Mask,$26500,$795000,$9540000,$200,$28-55,70-85%,80,Unknown,2,~6,YES,7/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,S-SHARK,MEDIUM,STUDY,Dutch-only,BEST ad efficiency 80 ads $26K/day. Clone for English,LED美容面罩红光,MEGA-30,22,69,Medium
26,Siltcon,siltcon.nl,Health/Tech,Women's Smartwatch,$21200,$636000,$7630000,$87,$8-25,77-90%,217,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,YES,Single country,Women's smartwatch targeting other EU markets,女士智能手表 健康监测,MEGA-30,23,68,Medium
27,Gatsby Canvas,gatsbycanvas.com,Home/Art,Canvas Prints,$5000 est,$150000 est,$1800000 est,~$19.99,$2-5,85%,292,150+,17,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,Yes (Printful/Printify),B-MINNOW,LOW,YES,Unknown,Canvas prints 17 countries build premium art brand,定制帆布画,MASTER-WINNERS,24,68,Medium
28,TheNap,thenap.no,Health/Sleep,EMS Sleep Device,$18200,$546000,$6550000,$50,$5-15,70-90%,1312,Unknown,5,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,S-SHARK,MEDIUM,YES,Unknown,Sleep tech brand targeting English speakers,EMS微电流助眠仪 / 脉冲睡眠仪,MEGA-30,25,67,Medium
29,Nida,nida.co,Beauty/K-Beauty,PDRN Serum,$7268,$218000,$2620000,$11,$1.50-5,73-91%,105,Unknown,13,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Unknown,K-Beauty PDRN serum trending globally,PDRN多肽精华液 / 三文鱼精华,MEGA-30,26,67,Medium
30,ZComfort,zcomfort.co,Health,Anti-Snoring,$8900,$267000,$3200000,$44,$0.80-1.50,89-97%,542,Unknown,14,5-6,YES,5/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,YES,Massive 956KB page SEOAnt bloat mixed products,Better brand design = win,$267K/mo with 5/10 UI,防打鼾牙套 / 止鼾器,MEGA-30 + 5-NICHE,28,66,Medium
31,Dentis,dentisoral.dk,Health/Oral,Electric Toothbrush,$4800 (DKK 33304),$144000,$1730000,$90 (DKK 629),$8-12,87-91%,4856,Unknown,5,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,25-65,Meta Ads,Own site,Yes (brush heads),No,S-SHARK,LOW,YES,Unknown,Replicate for other Nordic markets + subscription,sonic electric toothbrush rechargeable OEM,TOP-20-VERIFIED,27,66,Medium
32,The Pillow Home,thepillowhome.com,Health/Sleep,Memory Foam Pillow,$19080,$572000,$6870000,$83.00,$8-15,85%,1371,552,19,Unknown,YES,Unknown,Not found,0,Unknown,Unknown,Unknown,Meta Ads ($58.2K spend),Own site,No,No,S-SHARK,HIGH,YES,Generic store,$19K/day PROVEN demand. Build premium sleep brand,记忆棉枕头,MASTER-WINNERS,30,65,Medium
33,OliviaJewelry,oliviajewelry.com,Jewelry/Gifts,Birthstone Bracelet,$15264,$458000,$5490000,$59.00,$0.25-5.50,86-95%,1229,Unknown,18,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads + Google,Own site,No,No,S-SHARK,HIGH,STUDY,Unknown,Personalized jewelry brand — Ali Akbar's #1 play,诞生石手链 / 定制刻字手链,MEGA-30,29,65,Medium
34,AneedBlue,aneedblue.com,Accessories,Photochromic Sunglasses,$4200,$126000,$1510000,$22,$2.50-5,80-90%,1176,Unknown,2,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Unknown,Color-changing sunglasses spring/summer peak,变色太阳镜 / 感光变色眼镜,MEGA-30,31,64,Medium
35,ComfitUnderwear,comfit-underwear.fi,Apparel,Women's Underwear,$9600,$288000,$3460000,$38,$3-6,83-91%,1120,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,YES,Single country,Women's underwear brand for other EU markets,无缝内衣舒适女士,MEGA-30,32,63,Medium
36,TOTE Label,totelabel.com,Fashion/Bags,Premium Tote Bags,$5000 est,$150000 est,$1800000 est,~$38 (EUR 35),$3-8,85%,2560,100+,15,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads + Social,Own site,No,No,A-DOLPHIN,LOW,YES,Unknown,Premium tote bags Scandinavian minimalist design,帆布托特包,MASTER-WINNERS,33,63,Medium
37,HappyKoala,happykoala.pl,Footwear,Knit Shoes,$10900,$327000,$3920000,$21,$4-8,62-81%,1327,Unknown,3,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Unknown,Comfort shoes for Central Europe,女士针织运动鞋,MEGA-30,34,62,Medium
38,Sakerplus,sakerplus.com,Home/Tech,LED Clock,$7748,$232000,$2790000,$30-50,$5-10,80%,1096,482,5,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,No,A-DOLPHIN,MEDIUM,YES,482 DAYS profitable! Generic branding,LED clock easy to beat,LED数字挂钟遥控,MASTER-WINNERS,35,62,Medium
39,Lucky Fours,luckyfours.com,Fashion/Watches,BOGO Watches,$11139,$334000,$4010000,$79.99,$8-15,85%,2059,120,19,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads ($19K spend),Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Unknown,BOGO watches killer positioning,石英手表不锈钢,MASTER-WINNERS,36,61,Medium
40,Sebutik,sebutik.se,Tools/Home,BasinWrench Tool,$8500,$255000,$3060000,$17,$1.80-5,76-88%,3221,Unknown,2,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Both,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,YES,Simple tool volume play,Basin wrench BOGO,水龙头扳手 / 面盆扳手,MEGA-30,37,61,Medium
41,NorbbShop,norbbshop.com,Auto Care,Scratch Repair,$7482,$224000,$2690000,$13,$0.65-1,85-92%,690,Unknown,17,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,STUDY,Unknown,Car scratch pen mass market volume,汽车划痕修复笔 / 车漆补漆笔,MEGA-30,38,60,Medium
42,MairoParis,mairoparis.com,Fashion/Women,French Fashion,$16500,$495000,$5940000,$65,$8-15,77-88%,347,Unknown,2,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Unknown,French fashion brand model for other EU,女装时尚套装,MEGA-30,39,59,Harder
43,JbyJFashion,jbyjfashion.dk,Fashion/Women,Danish Fashion,$11400,$342000,$4100000,$87,$10-25,71-88%,439,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Danish only,Danish fashion model for local language brands,女装丹麦时尚品牌,MEGA-30,40,58,Harder
44,Cirkle,cirkle.dk,Kitchen/Health,Portable Blender,$8300,$249000,$2990000,$36,$3.20-8,72-86%,2022,Unknown,2,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men & Women,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,STUDY,Unknown,Portable blender brand,便携式榨汁杯 / 充电果汁机,MEGA-30,41,57,Harder
45,Nabelo,nabelo.dk,Accessories,RFID Card Holder,$9100,$273000,$3280000,$29,$1.50-4,83-93%,1320,Unknown,3,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Both,Unknown,Meta Ads,Own site,No,No,B-MINNOW,LOW,STUDY,Unknown,RFID card holder proven dropship product,自动弹出卡包 / RFID铝合金卡夹钱包,MEGA-30,42,56,Harder
46,MHE Boost,mheboost.com,Fitness/Health,Supplements,$11088,$333000,$3990000,$40-60,$5-12,80%,283,45,17,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads + UGC,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Explosive 45-day growth,17 countries. Oral spray version sourceable,口腔喷雾保健品OEM,MASTER-WINNERS,43,55,Harder
47,Breekora,breekora.com,Pet Care,Dog Bark Deterrent + Cat,$5000,$150000,$1800000,$30-80,$5-15,75%,1715,120+,Multi,Unknown,YES,Unknown,Not found,0,Unknown,Both,Unknown,Meta Ads + TikTok,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,1715 ads,Pet market booming,猫抓柱 + 狗止吠器,MASTER-WINNERS,44,55,Harder
48,MyCalmi,mycalmi.com,Health/Wellness,Menopause Ring (Adjacent),$4995,$150000,$1800000,$49.90,$1-3,94-98%,1024,Unknown,17,~5,YES,7/10,Unknown,Unknown,Unknown,Women,40-60,Meta Ads (1024!) Global,Own site,No,No,STUDY,MEDIUM,Different product,Narrow product line. Ring not ear seeds,Same acupressure concept different form factor,耳穴贴 / 穴位按压环,5-NICHE + EAR-SEEDS,45,54,Harder
49,Rosemona,rosemona.com,Fashion/Women,Premium Denim,$22700,$681000,$8170000,$147-149,$15-30,80%,524,1+,11,Unknown,YES,Unknown,Not found,0,Unknown,Women,25-55,Meta Ads + Social,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Premium tencel-blend denim,High AOV $149,天丝牛仔连衣裙,MASTER-WINNERS,46,53,Harder
50,BioHealingSauna,biohealingsauna.com.au,Health/Wellness,Sauna Blanket,$19000,$570000,$6840000,$218 (A$299),$15-65,78-95%,509,Unknown,1,~4,YES,5/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,CLONE for UK/US/EU,Geo-locked AU + bad UI + free tier reviews with branding,Australia only with 5/10 UI beatable in other markets,远红外排汗毯,5-NICHE,47,52,Harder
51,OfficialQuasi,officialquasi.com,Health/Beauty,LED Therapy Device,$8288,$249000,$2980000,~$150,$28-55,63-81%,1687,Unknown,5,~4,YES,6/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,B-MINNOW,MEDIUM,YES,1687 ads but lower revenue = poor efficiency,Bad ad efficiency despite massive ad spend,LED美容面罩 / 红光面膜仪,5-NICHE,48,51,Harder
52,DoyoBest,doyobest.com,Gifts/Personalized,Custom Gifts,$13140,$394000,$4730000,$31.99,$2-5,88%,3659,55,13,4828,YES,Unknown,4.6/5,5825,Unknown,Both,Unknown,Meta Ads (470 active) + Google,Own site,No,Yes (Printway/Merchize/Gooten),A-DOLPHIN,HIGH,HARD,4828 SKUs! Chinese-operated (duoyou FB). IG 30K,NFC music magnets from Alibaba $1-5. AI UX gap,亚克力定制冰箱贴,MASTER-WINNERS + POD,49,50,Harder
53,Beautiful Earth,beautifulearthboutique.com,Jewelry/Fashion,Zodiac/Birthstone,$8372,$251000,$3010000,$64.95,$3-8,90%,7943,544,19,800+,YES,Unknown,4.2/5,1306,Unknown,Women,Unknown,Meta Ads ($28.2K) + Google,Own site,No,No,A-DOLPHIN,HIGH,STUDY,$3 jewelry → $65 bundle. IG 649K! TikTok 24.6K. London-based,Zodiac/birthstone collections. Massive IG following,合金项链套装,MASTER-WINNERS,50,49,Hard
54,Spotminders,spotminders.com,Travel/Tech,Bluetooth Tracker,$10700 (GBP 8554),$321000,$3850000,$55-70 (GBP 44-54),$8-15,80%,1759,294,18,Unknown,YES,Unknown,Active,Unknown,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,No,A-DOLPHIN,HIGH,HARD,AirTag alternative,Apple Find My compatible travel market,蓝牙追踪器超薄,MASTER-WINNERS,51,48,Hard
55,Kulani Kinis,kulanikiniseu.com,Fashion/Swimwear,Bikinis,$25-60,$4-6,80-90%,1509,Unknown,Unknown,17,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Women,18-45,Meta Ads,Own site,No,No,A-DOLPHIN,MEDIUM,STUDY,Unknown,Modest/athletic/plus-size swimwear,custom printed bikini swimwear OEM,TOP-20-VERIFIED,53,46,Hard
56,Innovare Denim,innovaredenim.com,Fashion/Women,Women's Denim,$7500 est,$225000 est,$2700000 est,$60-120,$8-18,80-85%,4298,Unknown,18,Unknown,YES,Unknown,Unknown,Unknown,162700,Women,18-65,Meta Ads,Own site,No,No,A-DOLPHIN,HIGH,STUDY,Unknown,Body-inclusive sizing capsule wardrobe concept,women fashion denim jeans OEM wholesale,TOP-20-VERIFIED,54,45,Hard
57,Makezbright Gifts,makezbrightgifts.com,Gifts/Everything,Tumblers + Canvas + Keychains,$5000 est,$150000 est,$1800000 est,$18-56,$5-15,65%,Unknown,Unknown,Unknown,Unknown,YES,Unknown,4.8,45346,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,Yes (Printify/Printful),A-DOLPHIN,HIGH,HARD,45K reviews PROVEN,Niche down: pick ONE category,Various,POD-WINNERS,55,44,Hard
58,Koanna,koanna.com,Health/Wellness,Sauna Blanket,$64200 (EUR 59095),$1920000,$23040000,$461 (EUR 424),$15-65,85-96%,1004,Unknown,15,15-18,YES,8/10,Active,Unknown,Unknown,Unknown,Unknown,Meta Ads + Trustpilot,Own site,No,No,A-DOLPHIN,HIGH,STUDY,Strong competitor good brand,European HigherDOSE study pricing strategy,远红外排汗毯,5-NICHE,56,43,Hard
59,EarSeeds.com,earseeds.com,Health/Wellness,Ear Seeds,$3000 est,$90000 est,$1080000 est,$8-60,$0.50-5,80-95%,Low,2014+,1 (US),50-80+,Custom/Shopify,6/10,Not rated,6,Unknown,Women + Practitioners,30-60,SEO + Practitioner network + Academy,Own site + wholesale + practitioners. IG 16K FB 12K. Amazon 232 reviews,No,No,Established,LOW,No - they own SEO,Old brand huge SKU unfocused. Not paid ads. Tiny social (16K IG),Practitioner network + certification academy creates moat,耳穴压豆贴,EAR-SEEDS,57,42,Hard
60,Acu Seeds,acuseeds.com,Health/Wellness,Ear Seeds (UK),$400 est (GBP 7.7K/mo),$10000 est,$92000 (first year),$32-51 (GBP 25-40),$3-8,80-90%,Medium,2022+,1 (UK),21,Shopify,7/10,Unknown,Unknown,Unknown,Women,25-50,Meta Ads + Dragons Den PR + Subscription,Own site,YES,No,A-DOLPHIN,MEDIUM in UK,Not directly - UK focused,BBC controversy. UK only. Small revenue,Dragons Den investment = credibility. Subscription,N/A,EAR-SEEDS,58,41,Hard
61,byAVA,byava.co,Health/Beauty,Ear Seeds (K-Beauty),$2000 est,$60000 est,$720000 est,$90-100,$3-8,92-96%,Organic TikTok,2024+,Global,~5,Shopify,7/10,Not found,0,Unknown,Women,18-35,TikTok 1.4M followers + IG 152K. Korean herb-infused seeds. Hypebae featured,Own site + TikTok,No,No,Creator,MEDIUM,Compete on price,Creator-dependent (Ava Lee + Joa). Ultra-premium $90-100,Beauty/sculpting K-beauty angle. Dominant social-first ear seeds brand,N/A,EAR-SEEDS,59,40,Hard
62,GroundingWell,groundingwell.com,Health/Wellness,Grounding/Earthing,$37908,$1137000,$13650000,$69.90-99.90,$5-12,85%,4248,370+,19,10-15,YES,Unknown,4.1/5,2018,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,No,S-SHARK,HIGH,HARD,Basic store but massive revenue. IG 89K FB 120K,Build better funnel with science + doctor testimonials,接地垫,MASTER-WINNERS,60,38,Don't Compete
63,Fanka,fanka.com,Fitness/Activewear,Compression Wear,$26979,$809000,$9710000,$30-60,$5-12,80%,3548,379,19,Unknown,YES,Unknown,4.1/5,823,416300,Women,18-65,Meta Ads + Google,Own site,No,No (private label),S-SHARK,HIGH,HARD,Need private label. IG 159K TikTok 19.8K,Beat with better UGC content,塑身压缩运动裤,MASTER-WINNERS,61,35,Don't Compete
